  2300.27002110     3.62758595
  2300.30860135     3.62768059
  2300.34718159     3.62777525
  2300.38576184     3.62786993
  2300.42434209     3.62796462
  2300.46292233     3.62805934
  2300.50150258     3.62815407
  2300.54008283     3.62824882
  2300.57866307     3.62834359
  2300.61724332     3.62843839
  2300.65582356     3.62853320
  2300.69440381     3.62862803
  2300.73298406     3.62872288
  2300.77156430     3.62881775
  2300.81014455     3.62891264
  2300.84872480     3.62900754
  2300.88730504     3.62910247
  2300.92588529     3.62919741
  2300.96446553     3.62929236
  2301.00304578     3.62938734
  2301.04162603     3.62948233
  2301.08020627     3.62957734
  2301.11878652     3.62967237
  2301.15736677     3.62976742
  2301.19594701     3.62986249
  2301.23452726     3.62995758
  2301.27310750     3.63005269
  2301.31168775     3.63014782
  2301.35026800     3.63024296
  2301.38884824     3.63033812
  2301.42742849     3.63043330
  2301.46600874     3.63052849
  2301.50458898     3.63062370
  2301.54316923     3.63071892
  2301.58174947     3.63081417
  2301.62032972     3.63090944
  2301.65890997     3.63100472
  2301.69749021     3.63110003
  2301.73607046     3.63119536
  2301.77465071     3.63129071
  2301.81323095     3.63138608
  2301.85181120     3.63148147
  2301.89039144     3.63157687
  2301.92897169     3.63167229
  2301.96755194     3.63176772
  2302.00613218     3.63186317
  2302.04471243     3.63195864
  2302.08329268     3.63205413
  2302.12187292     3.63214963
  2302.16045317     3.63224516
  2302.19903341     3.63234071
  2302.23761366     3.63243627
  2302.27619391     3.63253186
  2302.31477415     3.63262747
  2302.35335440     3.63272309
  2302.39193465     3.63281874
  2302.43051489     3.63291440
  2302.46909514     3.63301008
  2302.50767538     3.63310578
  2302.54625563     3.63320149
  2302.58483588     3.63329722
  2302.62341612     3.63339297
  2302.66199637     3.63348874
  2302.70057662     3.63358453
  2302.73915686     3.63368033
  2302.77773711     3.63377616
  2302.81631735     3.63387200
  2302.85489760     3.63396786
  2302.89347785     3.63406375
  2302.93205809     3.63415965
  2302.97063834     3.63425557
  2303.00921858     3.63435151
  2303.04779883     3.63444747
  2303.08637908     3.63454344
  2303.12495932     3.63463944
  2303.16353957     3.63473545
  2303.20211982     3.63483148
  2303.24070006     3.63492753
  2303.27928031     3.63502360
  2303.31786055     3.63511968
  2303.35644080     3.63521579
  2303.39502105     3.63531191
  2303.43360129     3.63540806
  2303.47218154     3.63550422
  2303.51076179     3.63560040
  2303.54934203     3.63569660
  2303.58792228     3.63579282
  2303.62650252     3.63588905
  2303.66508277     3.63598530
  2303.70366302     3.63608157
  2303.74224326     3.63617786
  2303.78082351     3.63627416
  2303.81940376     3.63637049
  2303.85798400     3.63646683
  2303.89656425     3.63656319
  2303.93514449     3.63665957
  2303.97372474     3.63675598
  2304.01230499     3.63685240
  2304.05088523     3.63694884
  2304.08946548     3.63704530
  2304.12804573     3.63714178
  2304.16662597     3.63723828
  2304.20520622     3.63733480
  2304.24378646     3.63743134
  2304.28236671     3.63752789
  2304.32094696     3.63762446
  2304.35952720     3.63772105
  2304.39810745     3.63781766
  2304.43668770     3.63791429
  2304.47526794     3.63801093
  2304.51384819     3.63810760
  2304.55242843     3.63820428
  2304.59100868     3.63830098
  2304.62958893     3.63839769
  2304.66816917     3.63849443
  2304.70674942     3.63859119
  2304.74532967     3.63868796
  2304.78390991     3.63878476
  2304.82249016     3.63888158
  2304.86107040     3.63897841
  2304.89965065     3.63907526
  2304.93823090     3.63917213
  2304.97681114     3.63926902
  2305.01539139     3.63936593
  2305.05397164     3.63946285
  2305.09255188     3.63955980
  2305.13113213     3.63965676
  2305.16971237     3.63975374
  2305.20829262     3.63985074
  2305.24687287     3.63994776
  2305.28545311     3.64004480
  2305.32403336     3.64014186
  2305.36261361     3.64023894
  2305.40119385     3.64033603
  2305.43977410     3.64043315
  2305.47835434     3.64053028
  2305.51693459     3.64062744
  2305.55551484     3.64072461
  2305.59409508     3.64082180
  2305.63267533     3.64091901
  2305.67125557     3.64101623
  2305.70983582     3.64111348
  2305.74841607     3.64121074
  2305.78699631     3.64130802
  2305.82557656     3.64140532
  2305.86415681     3.64150264
  2305.90273705     3.64159998
  2305.94131730     3.64169733
  2305.97989754     3.64179471
  2306.01847779     3.64189211
  2306.05705804     3.64198953
  2306.09563828     3.64208696
  2306.13421853     3.64218442
  2306.17279878     3.64228189
  2306.21137902     3.64237938
  2306.24995927     3.64247689
  2306.28853951     3.64257442
  2306.32711976     3.64267196
  2306.36570001     3.64276952
  2306.40428025     3.64286710
  2306.44286050     3.64296470
  2306.48144075     3.64306232
  2306.52002099     3.64315996
  2306.55860124     3.64325763
  2306.59718148     3.64335531
  2306.63576173     3.64345301
  2306.67434198     3.64355072
  2306.71292222     3.64364846
  2306.75150247     3.64374621
  2306.79008272     3.64384398
  2306.82866296     3.64394177
  2306.86724321     3.64403957
  2306.90582345     3.64413739
  2306.94440370     3.64423524
  2306.98298395     3.64433310
  2307.02156419     3.64443098
  2307.06014444     3.64452889
  2307.09872469     3.64462681
  2307.13730493     3.64472476
  2307.17588518     3.64482272
  2307.21446542     3.64492070
  2307.25304567     3.64501870
  2307.29162592     3.64511672
  2307.33020616     3.64521475
  2307.36878641     3.64531281
  2307.40736666     3.64541088
  2307.44594690     3.64550897
  2307.48452715     3.64560708
  2307.52310739     3.64570521
  2307.56168764     3.64580335
  2307.60026789     3.64590152
  2307.63884813     3.64599971
  2307.67742838     3.64609791
  2307.71600863     3.64619614
  2307.75458887     3.64629438
  2307.79316912     3.64639264
  2307.83174936     3.64649093
  2307.87032961     3.64658923
  2307.90890986     3.64668755
  2307.94749010     3.64678589
