2 15 2352.280 0.017 
0 16 2362.823 0.015 
1 16 2425.650 0.014 
2 16 2485.948 0.019 
0 17 2496.226 0.016 
1 17 2559.235 0.015 
2 17 2619.761 0.018 
0 18 2629.724 0.014 
1 18 2693.437 0.013 
2 18 2754.551 0.016 
0 19 2764.211 0.014 
1 19 2828.258 0.013 
2 19 2889.708 0.016 
0 20 2899.101 0.012 
1 20 2963.447 0.012 
2 20 3024.839 0.016 
0 21 3033.845 0.012 
1 21 3098.287 0.013 
2 21 3159.997 0.017 
0 22 3168.726 0.014 
1 22 3233.321 0.016 
2 22 3295.275 0.021 
0 23 3303.652 0.019 
1 23 3368.689 0.021 
2 23 3431.006 0.030 
0 24 3439.152 0.027 
1 24 3504.397 0.028 
2 24 3567.248 0.041 
0 25 3575.083 0.046 
1 25 3640.791 0.036 
2 25 3703.388 0.065 
0 26 3710.938 0.086 
1 26 3777.436 0.050 
2 26 3840.118 0.143 
0 27 3847.250 0.177 
1 27 3913.995 0.066 
2 27 3977.388 0.297 
0 28 3984.507 0.323 
